Date,Product Name,Category,Units Sold,Price,Discount,Location,Platform
2020-01-20,Magnesium,Mineral,154,38.07,0.14,Canada,Amazon
2020-01-20,Ashwagandha,Herbal,988,23.49,0.21,Canada,iHerb
2020-01-20,Melatonin,Sleep Aid,982,26.71,0.2,Canada,iHerb
2020-01-20,Biotin,Vitamin,340,32.01,0.04,Canada,Amazon
2020-01-20,Green Tea Extract,Fat Burner,1325,21.03,0.15,UK,Walmart
2020-01-20,Iron Supplement,Mineral,357,41.81,0.2,UK,iHerb
2020-01-20,Electrolyte Powder,Hydration,589,29.19,0.14,USA,Amazon
2020-01-27,Whey Protein,Protein,233,26.73,0.01,UK,Amazon
2020-01-27,Vitamin C,Vitamin,350,35.9,0.07,UK,iHerb
2020-01-27,Fish Oil,Omega,163,53.64,0.21,Canada,iHerb
2020-01-27,Multivitamin,Vitamin,219,34.15,0.03,UK,iHerb
2020-01-27,Pre-Workout,Performance,462,31.84,0.18,USA,iHerb
2020-01-27,BCAA,Amino Acid,2184,16.77,0.19,USA,iHerb
2020-01-27,Creatine,Performance,879,12.85,0.07,USA,Walmart
2020-01-27,Zinc,Mineral,187,47.97,0.11,UK,iHerb
2020-01-27,Collagen Peptides,Protein,1104,11.68,0.02,Canada,Walmart
2020-01-27,Magnesium,Mineral,231,30.55,0.09,USA,Amazon
2020-01-27,Ashwagandha,Herbal,336,30.94,0.07,Canada,Amazon
2020-01-27,Melatonin,Sleep Aid,298,38.27,0.12,UK,iHerb
2020-01-27,Biotin,Vitamin,1548,15.7,0.04,UK,Walmart
2020-01-27,Green Tea Extract,Fat Burner,393,38.06,0.13,UK,iHerb
2020-01-27,Iron Supplement,Mineral,1963,13.38,0.18,USA,iHerb
2020-01-27,Electrolyte Powder,Hydration,259,34.23,0.04,Canada,Amazon
2020-02-03,Whey Protein,Protein,179,34.72,0.1,Canada,iHerb
2020-02-03,Vitamin C,Vitamin,592,35.63,0.2,UK,Amazon
2020-02-03,Fish Oil,Omega,1170,18.24,0.08,UK,Amazon
2020-02-03,Multivitamin,Vitamin,145,53.89,0.22,UK,Amazon
2020-02-03,Pre-Workout,Performance,96,59.25,0.19,UK,Amazon
2020-02-03,BCAA,Amino Acid,134,55.46,0.13,USA,iHerb
2020-02-03,Creatine,Performance,65,51.11,0.1,Canada,Amazon
2020-02-03,Zinc,Mineral,337,36.17,0.07,Canada,Amazon
2020-02-03,Collagen Peptides,Protein,87,49.9,0.1,UK,Amazon
2020-02-03,Magnesium,Mineral,127,44.79,0.2,Canada,Amazon
2020-02-03,Ashwagandha,Herbal,1305,19.21,0.22,UK,Amazon
2020-02-03,Melatonin,Sleep Aid,156,40.76,0.02,Canada,iHerb
2020-02-03,Biotin,Vitamin,71,58.36,0.1,UK,Amazon
2020-02-03,Green Tea Extract,Fat Burner,2215,18.3,0.22,UK,iHerb
2020-02-03,Iron Supplement,Mineral,347,37.99,0.13,USA,Amazon
2020-02-03,Electrolyte Powder,Hydration,122,46.57,0.05,Canada,iHerb
2020-02-10,Whey Protein,Protein,87,45.51,0.08,UK,iHerb
2020-02-10,Vitamin C,Vitamin,730,27.89,0.12,UK,Amazon
2020-02-10,Fish Oil,Omega,329,45.6,0.21,Canada,Amazon
2020-02-10,Multivitamin,Vitamin,477,27.4,0.11,UK,Walmart
2020-02-10,Pre-Workout,Performance,814,27.62,0.21,USA,iHerb
2020-02-10,BCAA,Amino Acid,1173,26.26,0.17,UK,Amazon
2020-02-10,Creatine,Performance,628,21.36,0.21,Canada,iHerb
2020-02-10,Zinc,Mineral,330,35.63,,UK,Amazon
2020-02-10,Collagen Peptides,Protein,96,53.56,0.19,UK,Walmart
2020-02-10,Magnesium,Mineral,53,55.36,0.17,UK,iHerb
2020-02-10,Ashwagandha,Herbal,606,33.02,0.22,USA,iHerb
2020-02-10,Melatonin,Sleep Aid,1423,15.54,0.11,Canada,Amazon
2020-02-10,Biotin,Vitamin,1413,24.61,0.23,UK,iHerb
2020-02-10,Green Tea Extract,Fat Burner,159,58.14,0.18,UK,Walmart
2020-02-10,Iron Supplement,Mineral,66,53.64,0.03,USA,Walmart
2020-02-10,Electrolyte Powder,Hydration,714,22.09,0.0,USA,Amazon
2020-02-17,Whey Protein,Protein,336,24.86,0.07,Canada,iHerb
2020-02-17,Vitamin C,Vitamin,484,39.66,0.22,Canada,iHerb
2020-02-17,Fish Oil,Omega,71,49.73,0.01,Canada,Walmart
2020-02-17,Multivitamin,Vitamin,106,51.57,0.15,USA,Amazon
2020-02-17,Pre-Workout,Performance,344,43.46,0.21,USA,Walmart
2020-02-17,BCAA,Amino Acid,483,31.52,0.08,UK,Amazon
2020-02-17,Creatine,Performance,54,54.63,0.11,UK,Amazon
2020-02-17,Zinc,Mineral,179,45.13,0.06,USA,iHerb
2020-02-17,Collagen Peptides,Protein,322,34.38,0.16,Canada,Walmart
2020-02-17,Magnesium,Mineral,186,35.31,0.16,USA,Amazon
2020-02-17,Ashwagandha,Herbal,231,33.62,0.01,USA,iHerb
2020-02-17,Melatonin,Sleep Aid,1262,19.8,0.15,USA,iHerb
2020-02-17,Biotin,Vitamin,2092,10.28,0.0,USA,Walmart
2020-02-17,Green Tea Extract,Fat Burner,1189,26.94,0.2,Canada,Amazon
2020-02-17,Iron Supplement,Mineral,99,56.59,0.1,UK,Amazon
2020-02-17,Electrolyte Powder,Hydration,729,27.26,0.13,Canada,Amazon
2020-02-24,Whey Protein,Protein,19,59.64,0.03,UK,Walmart
2020-02-24,Vitamin C,Vitamin,934,30.55,0.23,UK,iHerb
2020-02-24,Fish Oil,Omega,269,,0.24,USA,Amazon
2020-02-24,Multivitamin,Vitamin,1745,12.98,0.15,USA,Walmart
2020-02-24,Pre-Workout,Performance,414,32.81,0.09,Canada,Amazon
2020-02-24,BCAA,Amino Acid,1933,13.55,0.02,UK,Amazon
2020-02-24,Creatine,Performance,117,43.93,0.09,UK,Amazon
2020-02-24,Zinc,Mineral,167,53.68,0.18,UK,iHerb
2020-02-24,Collagen Peptides,Protein,160,36.7,0.04,Canada,iHerb
2020-02-24,Magnesium,Mineral,196,34.3,0.14,UK,iHerb
2020-02-24,Ashwagandha,Herbal,719,27.16,0.18,UK,iHerb
2020-02-24,Melatonin,Sleep Aid,569,31.5,0.17,Canada,iHerb
2020-02-24,Biotin,Vitamin,887,32.32,0.2,USA,iHerb
2020-02-24,Green Tea Extract,Fat Burner,322,39.11,0.09,UK,iHerb
2020-02-24,Iron Supplement,Mineral,272,34.72,0.04,UK,Amazon
2020-02-24,Electrolyte Powder,Hydration,478,27.29,0.04,Canada,Amazon
2020-03-02,Whey Protein,Protein,272,27.03,0.02,Canada,Amazon
2020-03-02,Vitamin C,Vitamin,284,40.29,0.09,Canada,iHerb
2020-03-02,Fish Oil,Omega,326,34.28,0.01,Canada,iHerb
2020-03-02,Multivitamin,Vitamin,1475,11.95,0.01,UK,iHerb
2020-03-02,Pre-Workout,Performance,151,47.81,0.11,USA,Walmart
2020-03-02,BCAA,Amino Acid,78,57.8,0.08,Canada,Amazon
2020-03-02,Creatine,Performance,23,59.2,0.07,Canada,iHerb
2020-03-02,Zinc,Mineral,975,27.02,0.14,UK,Amazon
2020-03-02,Collagen Peptides,Protein,167,48.1,0.21,UK,Amazon
2020-03-02,Magnesium,Mineral,371,19.73,0.01,USA,Amazon
2020-03-02,Ashwagandha,Herbal,159,39.02,0.03,USA,Amazon
2020-03-02,Melatonin,Sleep Aid,980,30.09,0.25,Canada,Amazon
2020-03-02,Biotin,Vitamin,256,41.03,,UK,Amazon
2020-03-02,Green Tea Extract,Fat Burner,200,58.2,0.23,USA,Walmart
2020-03-02,Iron Supplement,Mineral,2056,16.53,0.2,UK,Amazon
2020-03-02,Electrolyte Powder,Hydration,203,53.85,0.24,USA,Amazon
2020-03-09,Whey Protein,Protein,302,34.17,0.22,USA,Walmart
2020-03-09,Vitamin C,Vitamin,1493,20.16,0.19,Canada,iHerb
2020-03-09,Fish Oil,Omega,514,38.86,0.22,UK,Walmart
2020-03-09,Multivitamin,Vitamin,402,34.72,0.14,UK,Walmart
2020-03-09,Pre-Workout,Performance,104,52.7,0.11,Canada,Amazon
2020-03-09,BCAA,Amino Acid,150,54.17,0.11,Canada,Amazon
2020-03-09,Creatine,Performance,1170,10.96,0.12,USA,Amazon
2020-03-09,Zinc,Mineral,1389,16.72,0.07,USA,iHerb
2020-03-09,Collagen Peptides,Protein,1034,20.54,0.24,UK,Amazon
2020-03-09,Magnesium,Mineral,1137,10.72,0.18,UK,iHerb
2020-03-09,Ashwagandha,Herbal,253,47.67,0.19,Canada,iHerb
2020-03-09,Melatonin,Sleep Aid,160,40.68,0.02,UK,Walmart
2020-03-09,Biotin,Vitamin,500,30.36,0.02,USA,Walmart
2020-03-09,Green Tea Extract,Fat Burner,52,57.38,0.02,USA,Amazon
2020-03-09,Iron Supplement,Mineral,2276,13.84,0.13,Canada,iHerb
2020-03-09,Electrolyte Powder,Hydration,1901,13.65,0.1,Canada,Amazon
2020-03-16,Whey Protein,Protein,140,50.17,0.23,Canada,iHerb
2020-03-16,Vitamin C,Vitamin,370,33.82,0.06,Canada,Walmart
2020-03-16,Fish Oil,Omega,2003,16.15,0.22,Canada,Amazon
2020-03-16,Multivitamin,Vitamin,125,41.24,0.02,UK,Amazon
2020-03-16,Pre-Workout,Performance,183,51.13,0.2,USA,Walmart
2020-03-16,BCAA,Amino Acid,141,48.77,0.07,UK,Amazon
2020-03-16,Creatine,Performance,72,,0.01,Canada,Amazon
2020-03-16,Zinc,Mineral,299,35.56,0.01,USA,Amazon
2020-03-16,Collagen Peptides,Protein,49,51.97,0.0,Canada,iHerb
2020-03-16,Magnesium,Mineral,731,15.09,0.09,Canada,iHerb
2020-03-16,Ashwagandha,Herbal,217,49.45,0.22,Canada,iHerb
2020-03-16,Melatonin,Sleep Aid,46,58.2,0.02,Canada,Amazon
2020-03-16,Biotin,Vitamin,482,41.64,0.18,UK,iHerb
2020-03-16,Green Tea Extract,Fat Burner,534,43.32,0.24,UK,Walmart
2020-03-16,Iron Supplement,Mineral,640,24.9,0.03,UK,iHerb
2020-03-16,Electrolyte Powder,Hydration,1226,28.0,0.24,USA,Amazon
2020-03-23,Whey Protein,Protein,595,20.44,0.09,UK,Walmart
2020-03-23,Vitamin C,Vitamin,99,52.52,0.05,Canada,Amazon
2020-03-23,Fish Oil,Omega,1401,20.79,0.17,Canada,iHerb
2020-03-23,Multivitamin,Vitamin,214,42.58,0.18,Canada,Amazon
2020-03-23,Pre-Workout,Performance,107,45.66,0.05,Canada,Walmart
2020-03-23,BCAA,Amino Acid,2412,12.9,0.03,UK,Walmart
2020-03-23,Creatine,Performance,1369,10.73,0.09,UK,iHerb
2020-03-23,Zinc,Mineral,729,30.21,0.13,UK,Amazon
2020-03-23,Collagen Peptides,Protein,153,48.7,0.19,Canada,Amazon
2020-03-23,Magnesium,Mineral,326,23.28,0.0,UK,iHerb
2020-03-23,Ashwagandha,Herbal,477,27.4,0.09,USA,Amazon
2020-03-23,Melatonin,Sleep Aid,129,58.71,0.21,Canada,iHerb
2020-03-23,Biotin,Vitamin,191,49.02,0.11,USA,Amazon
2020-03-23,Green Tea Extract,Fat Burner,1059,21.41,0.06,Canada,Amazon
2020-03-23,Iron Supplement,Mineral,2942,12.89,0.24,USA,Amazon
2020-03-23,Electrolyte Powder,Hydration,1745,13.78,0.09,UK,Amazon
2020-03-30,Whey Protein,Protein,223,41.12,0.2,Canada,iHerb
2020-03-30,Vitamin C,Vitamin,285,41.8,0.1,Canada,Amazon
2020-03-30,Fish Oil,Omega,73,55.87,0.07,USA,Amazon
2020-03-30,Multivitamin,Vitamin,1226,13.11,0.04,UK,Amazon
2020-03-30,Pre-Workout,Performance,1537,16.71,0.24,USA,Amazon
2020-03-30,BCAA,Amino Acid,175,43.98,0.02,UK,Walmart
2020-03-30,Creatine,Performance,169,37.33,0.11,USA,Amazon
2020-03-30,Zinc,Mineral,853,20.46,0.01,USA,Amazon
2020-03-30,Collagen Peptides,Protein,33,58.03,0.05,Canada,iHerb
2020-03-30,Magnesium,Mineral,82,39.68,0.02,UK,iHerb
2020-03-30,Ashwagandha,Herbal,538,33.85,0.18,USA,Walmart
2020-03-30,Melatonin,Sleep Aid,1301,18.13,0.14,UK,iHerb
2020-03-30,Biotin,Vitamin,2665,10.45,0.09,UK,Amazon
2020-03-30,Green Tea Extract,Fat Burner,1149,21.1,0.08,USA,iHerb
2020-03-30,Iron Supplement,Mineral,356,31.44,0.01,UK,iHerb
2020-03-30,Electrolyte Powder,Hydration,930,24.44,0.1,USA,Amazon
2020-04-06,Whey Protein,Protein,454,29.62,,UK,iHerb
2020-04-06,Vitamin C,Vitamin,1121,27.86,0.2,UK,Walmart
2020-04-06,Fish Oil,Omega,179,42.83,0.06,USA,Amazon
2020-04-06,Multivitamin,Vitamin,213,35.3,0.06,USA,Amazon
2020-04-06,Pre-Workout,Performance,76,53.34,0.07,UK,Walmart
2020-04-06,BCAA,Amino Acid,452,39.0,0.13,USA,Walmart
2020-04-06,Creatine,Performance,116,54.7,0.24,USA,Walmart
2020-04-06,Zinc,Mineral,490,33.82,0.12,Canada,Amazon
2020-04-06,Collagen Peptides,Protein,720,26.58,0.21,Canada,iHerb
2020-04-06,Magnesium,Mineral,44,57.04,0.13,Canada,iHerb
2020-04-06,Ashwagandha,Herbal,952,26.61,0.17,Canada,Amazon
2020-04-06,Melatonin,Sleep Aid,144,53.79,0.13,USA,iHerb
2020-04-06,Biotin,Vitamin,2093,16.39,0.19,UK,Amazon
2020-04-06,Green Tea Extract,Fat Burner,3247,12.73,0.24,UK,Walmart
2020-04-06,Iron Supplement,Mineral,661,21.52,0.0,USA,Amazon
2020-04-06,Electrolyte Powder,Hydration,323,43.15,0.19,UK,iHerb
2020-04-13,Whey Protein,Protein,529,26.26,0.18,Canada,Walmart
2020-04-13,Vitamin C,Vitamin,192,55.1,0.2,USA,Walmart
2020-04-13,Fish Oil,Omega,363,39.53,0.17,USA,iHerb
2020-04-13,Multivitamin,Vitamin,1165,18.37,0.2,USA,Amazon
2020-04-13,Pre-Workout,Performance,748,23.27,0.15,USA,Amazon
2020-04-13,BCAA,Amino Acid,2268,15.13,0.13,Canada,iHerb
2020-04-13,Creatine,Performance,84,51.38,0.17,UK,Walmart
2020-04-13,Zinc,Mineral,326,44.73,0.18,Canada,Amazon
2020-04-13,Collagen Peptides,Protein,683,19.76,0.09,USA,Amazon
2020-04-13,Magnesium,Mineral,261,38.1,0.24,UK,iHerb
2020-04-13,Ashwagandha,Herbal,146,49.31,0.18,Canada,iHerb
2020-04-13,Melatonin,Sleep Aid,133,50.86,0.14,Canada,Walmart
2020-04-13,Biotin,Vitamin,474,45.92,0.22,UK,Amazon
2020-04-13,Green Tea Extract,Fat Burner,444,29.83,0.03,USA,Amazon
2020-04-13,Iron Supplement,Mineral,1195,24.5,0.22,Canada,Walmart
2020-04-13,Electrolyte Powder,Hydration,359,41.24,0.14,USA,Walmart
2020-04-20,Whey Protein,Protein,86,43.7,0.01,USA,Walmart
2020-04-20,Vitamin C,Vitamin,750,27.65,0.16,Canada,iHerb
2020-04-20,Fish Oil,Omega,2279,13.42,0.2,UK,iHerb
2020-04-20,Multivitamin,Vitamin,366,26.62,0.01,USA,Amazon
2020-04-20,Pre-Workout,Performance,292,43.57,0.16,USA,Walmart
2020-04-20,BCAA,Amino Acid,1739,15.07,0.07,USA,iHerb
2020-04-20,Creatine,Performance,1023,13.38,0.13,Canada,Walmart
2020-04-20,Zinc,Mineral,954,30.18,0.18,USA,iHerb
2020-04-20,Collagen Peptides,Protein,341,29.88,0.07,USA,iHerb
2020-04-20,Magnesium,Mineral,442,24.37,0.16,USA,Amazon
2020-04-20,Ashwagandha,Herbal,2063,13.78,0.24,Canada,Amazon
2020-04-20,Melatonin,Sleep Aid,285,41.18,0.16,USA,Amazon
2020-04-20,Biotin,Vitamin,274,45.33,0.15,UK,Amazon
2020-04-20,Green Tea Extract,Fat Burner,271,53.3,0.24,UK,Amazon
2020-04-20,Iron Supplement,Mineral,1440,20.13,0.15,USA,iHerb
2020-04-20,Electrolyte Powder,Hydration,2365,,0.15,UK,Amazon
2020-04-27,Whey Protein,Protein,462,29.95,0.21,USA,Amazon
2020-04-27,Vitamin C,Vitamin,389,31.68,0.02,USA,iHerb
2020-04-27,Fish Oil,Omega,953,22.94,0.11,Canada,iHerb
2020-04-27,Multivitamin,Vitamin,931,22.1,0.18,USA,Walmart
2020-04-27,Pre-Workout,Performance,82,46.94,0.0,UK,Walmart
2020-04-27,BCAA,Amino Acid,922,22.38,0.02,USA,Walmart
2020-04-27,Creatine,Performance,66,43.64,0.02,Canada,Amazon
2020-04-27,Zinc,Mineral,300,51.15,0.23,USA,iHerb
2020-04-27,Collagen Peptides,Protein,160,47.14,0.18,UK,iHerb
2020-04-27,Magnesium,Mineral,61,56.04,0.15,Canada,Walmart
2020-04-27,Ashwagandha,Herbal,132,54.77,0.17,UK,Walmart
2020-04-27,Melatonin,Sleep Aid,1278,22.42,0.18,Canada,Walmart
2020-04-27,Biotin,Vitamin,52,56.81,0.02,UK,Walmart
2020-04-27,Green Tea Extract,Fat Burner,2164,11.1,0.08,Canada,iHerb
2020-04-27,Iron Supplement,Mineral,63,56.36,0.03,Canada,Walmart
2020-04-27,Electrolyte Powder,Hydration,749,23.01,0.04,Canada,iHerb
2020-05-04,Whey Protein,Protein,207,43.21,0.22,Canada,iHerb
2020-05-04,Vitamin C,Vitamin,635,24.46,0.08,UK,iHerb
2020-05-04,Fish Oil,Omega,659,27.84,0.09,Canada,iHerb
2020-05-04,Multivitamin,Vitamin,145,55.69,0.24,UK,Walmart
2020-05-04,Pre-Workout,Performance,125,57.06,0.22,Canada,iHerb
2020-05-04,BCAA,Amino Acid,366,35.16,0.05,Canada,iHerb
2020-05-04,Creatine,Performance,94,52.94,0.19,Canada,Amazon
2020-05-04,Zinc,Mineral,174,43.68,0.04,Canada,iHerb
2020-05-04,Collagen Peptides,Protein,580,18.26,0.0,UK,iHerb
2020-05-04,Magnesium,Mineral,434,18.07,0.02,UK,iHerb
2020-05-04,Ashwagandha,Herbal,1099,15.27,0.06,UK,Walmart
2020-05-04,Melatonin,Sleep Aid,1868,12.89,0.1,Canada,iHerb
2020-05-04,Biotin,Vitamin,716,30.79,0.11,USA,Amazon
2020-05-04,Green Tea Extract,Fat Burner,1202,18.58,0.13,USA,iHerb
2020-05-04,Iron Supplement,Mineral,249,36.63,0.03,USA,iHerb
2020-05-04,Electrolyte Powder,Hydration,1701,17.14,0.17,USA,Amazon
2020-05-11,Whey Protein,Protein,634,20.22,0.13,Canada,iHerb
2020-05-11,Vitamin C,Vitamin,389,38.03,0.16,USA,Amazon
2020-05-11,Fish Oil,Omega,159,46.17,0.13,UK,iHerb
2020-05-11,Multivitamin,Vitamin,263,34.25,0.08,Canada,Amazon
2020-05-11,Pre-Workout,Performance,212,52.75,0.22,Canada,Amazon
2020-05-11,BCAA,Amino Acid,278,50.18,0.23,USA,Walmart
2020-05-11,Creatine,Performance,369,29.47,0.14,Canada,iHerb
2020-05-11,Zinc,Mineral,1892,13.71,0.09,USA,Walmart
2020-05-11,Collagen Peptides,Protein,642,21.01,0.09,Canada,iHerb
2020-05-11,Magnesium,Mineral,235,33.21,0.18,USA,iHerb
2020-05-11,Ashwagandha,Herbal,1009,20.88,0.17,Canada,Amazon
2020-05-11,Melatonin,Sleep Aid,2506,13.32,0.19,Canada,iHerb
2020-05-11,Biotin,Vitamin,183,50.15,0.13,Canada,Walmart
2020-05-11,Green Tea Extract,Fat Burner,156,47.11,0.04,Canada,iHerb
2020-05-11,Iron Supplement,Mineral,173,55.41,0.19,USA,Walmart
2020-05-11,Electrolyte Powder,Hydration,385,38.94,0.16,UK,iHerb
2020-05-18,Whey Protein,Protein,422,23.55,0.05,USA,iHerb
2020-05-18,Vitamin C,Vitamin,859,31.24,0.23,USA,iHerb
2020-05-18,Fish Oil,Omega,192,44.81,0.1,Canada,Amazon
2020-05-18,Multivitamin,Vitamin,724,23.6,0.17,Canada,iHerb
2020-05-18,Pre-Workout,Performance,538,26.23,0.07,Canada,iHerb
2020-05-18,BCAA,Amino Acid,267,39.77,0.07,UK,Amazon
2020-05-18,Creatine,Performance,62,48.04,0.05,Canada,Walmart
2020-05-18,Zinc,Mineral,324,31.62,0.01,Canada,Amazon
2020-05-18,Collagen Peptides,Protein,1618,11.95,0.17,UK,iHerb
2020-05-18,Magnesium,Mineral,476,26.26,0.23,Canada,iHerb
2020-05-18,Ashwagandha,Herbal,932,22.45,0.14,Canada,Walmart
2020-05-18,Melatonin,Sleep Aid,237,50.33,0.21,USA,Amazon
2020-05-18,Biotin,Vitamin,516,30.56,0.03,UK,iHerb
2020-05-18,Green Tea Extract,Fat Burner,334,38.31,0.08,UK,Walmart
2020-05-18,Iron Supplement,Mineral,173,48.22,0.16,Canada,Amazon
2020-05-18,Electrolyte Powder,Hydration,409,41.23,0.22,USA,iHerb
2020-05-25,Whey Protein,Protein,77,45.37,0.1,UK,Amazon
2020-05-25,Vitamin C,Vitamin,69,56.46,0.09,UK,iHerb
2020-05-25,Fish Oil,Omega,185,39.66,0.01,Canada,Amazon
2020-05-25,Multivitamin,Vitamin,719,28.66,0.24,UK,Amazon
2020-05-25,Pre-Workout,Performance,194,44.86,0.16,Canada,Amazon
2020-05-25,BCAA,Amino Acid,214,39.97,0.04,Canada,Walmart
2020-05-25,Creatine,Performance,39,51.87,0.04,UK,iHerb
2020-05-25,Zinc,Mineral,313,44.98,0.21,UK,Amazon
2020-05-25,Collagen Peptides,Protein,856,17.68,0.14,UK,Amazon
2020-05-25,Magnesium,Mineral,111,39.64,0.09,Canada,Walmart
2020-05-25,Ashwagandha,Herbal,164,54.05,0.22,USA,iHerb
2020-05-25,Melatonin,Sleep Aid,69,54.3,0.05,USA,Amazon
2020-05-25,Biotin,Vitamin,30,59.86,0.01,UK,iHerb
2020-05-25,Green Tea Extract,Fat Burner,2002,13.12,0.08,UK,Walmart
2020-05-25,Iron Supplement,Mineral,1538,13.55,0.05,Canada,Amazon
2020-05-25,Electrolyte Powder,Hydration,1296,15.05,0.04,UK,Amazon
2020-06-01,Whey Protein,Protein,349,26.31,0.07,USA,iHerb
2020-06-01,Vitamin C,Vitamin,619,27.77,0.17,UK,Walmart
2020-06-01,Fish Oil,Omega,1116,17.35,0.09,USA,iHerb
2020-06-01,Multivitamin,Vitamin,252,34.23,0.08,Canada,Amazon
2020-06-01,Pre-Workout,Performance,221,39.03,0.13,USA,Amazon
2020-06-01,BCAA,Amino Acid,373,34.39,0.02,Canada,Walmart
2020-06-01,Creatine,Performance,928,12.85,0.1,Canada,iHerb
2020-06-01,Zinc,Mineral,379,43.36,0.19,Canada,Walmart
2020-06-01,Collagen Peptides,Protein,147,52.01,0.25,UK,iHerb
2020-06-01,Magnesium,Mineral,255,34.47,0.19,Canada,iHerb
2020-06-01,Ashwagandha,Herbal,776,28.07,0.21,Canada,Amazon
2020-06-01,Melatonin,Sleep Aid,92,48.12,0.03,Canada,iHerb
2020-06-01,Biotin,Vitamin,392,38.39,0.14,UK,Walmart
2020-06-01,Green Tea Extract,Fat Burner,336,37.63,0.09,Canada,iHerb
2020-06-01,Iron Supplement,Mineral,943,19.26,0.07,Canada,Walmart
2020-06-01,Electrolyte Powder,Hydration,1150,24.29,0.23,USA,Amazon
2020-06-08,Whey Protein,Protein,398,28.73,0.2,UK,Amazon
2020-06-08,Vitamin C,Vitamin,184,52.26,0.2,USA,Walmart
2020-06-08,Fish Oil,Omega,1487,20.91,0.22,USA,Amazon
2020-06-08,Multivitamin,Vitamin,101,53.53,0.2,Canada,Walmart
2020-06-08,Pre-Workout,Performance,325,32.92,0.09,Canada,iHerb
2020-06-08,BCAA,Amino Acid,2415,12.0,0.07,UK,iHerb
2020-06-08,Creatine,Performance,200,33.4,0.12,USA,Walmart
2020-06-08,Zinc,Mineral,573,31.5,0.15,USA,Walmart
2020-06-08,Collagen Peptides,Protein,49,51.38,0.04,USA,Walmart
2020-06-08,Magnesium,Mineral,196,35.53,0.15,Canada,iHerb
2020-06-08,Ashwagandha,Herbal,1075,12.51,0.01,Canada,Amazon
2020-06-08,Melatonin,Sleep Aid,960,18.03,0.01,UK,Amazon
2020-06-08,Biotin,Vitamin,130,46.23,0.03,UK,Walmart
2020-06-08,Green Tea Extract,Fat Burner,992,28.99,0.2,USA,Amazon
2020-06-08,Iron Supplement,Mineral,113,48.64,0.06,Canada,Amazon
2020-06-08,Electrolyte Powder,Hydration,446,29.37,0.02,USA,iHerb
